"","Especie","Long","Lat","BD","colecta","env_group_3"
"212","haageana",-97.627808,19.024923,"gbif",NA,"Haageana"
"213","haageana",-97.627036,19.026093,"gbif",NA,"Haageana"
"214","haageana",-97.45766,18.33247,"gbif",NA,"M_meissneri"
"215","haageana",-97.457328,18.33125,"gbif",NA,"M_meissneri"
"216","haageana",-97.497053,18.330378,"gbif",NA,"M_meissneri"
"217","haageana",-97.680817,17.768631,"gbif",NA,"M_conspicua"
"218","haageana",-97.687168,17.778603,"gbif",NA,"M_conspicua"
"219","haageana",-97.672695,18.211564,"gbif",NA,"M_conspicua"
"220","haageana",-97.469556,18.407306,"gbif",NA,"M_conspicua"
"221","haageana",-97.320833,17.817528,"gbif",NA,"Oaxacana"
"222","haageana",-97.484779,18.243699,"gbif",NA,"M_conspicua"
"223","haageana",-97.457107,18.330199,"gbif",NA,"M_meissneri"
"224","haageana",-97.456936,18.330403,"gbif",NA,"M_meissneri"
"225","haageana",-97.457571,18.330533,"gbif",NA,"M_meissneri"
"226","haageana",-97.4625,18.623667,"gbif",NA,"M_conspicua"
"227","haageana",-97.571556,18.236194,"gbif",NA,"M_conspicua"
"228","haageana",-97.547167,18.239722,"gbif",NA,"M_conspicua"
"229","haageana",-97.458889,18.319222,"gbif",NA,"M_meissneri"
"230","haageana",-97.435861,18.375944,"gbif",NA,"M_meissneri"
"231","haageana",-97.47875,18.349278,"gbif",NA,"M_conspicua"
"232","haageana",-97.475361,18.36,"gbif",NA,"M_conspicua"
"233","haageana",-97.478139,18.353806,"gbif",NA,"M_conspicua"
"234","haageana",-97.4805,18.357139,"gbif",NA,"M_conspicua"
"235","haageana",-97.482722,18.359472,"gbif",NA,"M_conspicua"
"236","haageana",-97.382222,18.682167,"gbif",NA,"M_conspicua"
"237","haageana",-97.453139,18.255556,"gbif",NA,"M_conspicua"
"238","haageana",-97.435528,18.232194,"gbif",NA,"M_conspicua"
"239","haageana",-97.519222,18.404472,"gbif",NA,"M_conspicua"
"240","haageana",-97.50025,18.26825,"gbif",NA,"M_meissneri"
"241","haageana",-97.474861,18.43075,"gbif",NA,"M_conspicua"
"242","haageana",-97.403889,18.706556,"gbif",NA,"Haageana"
"243","haageana",-97.408583,18.697833,"gbif",NA,"Haageana"
"244","haageana",-97.532917,18.201611,"gbif",NA,"M_conspicua"
"245","haageana",-97.466944,18.4195,"gbif",NA,"M_conspicua"
"246","haageana",-97.405361,18.705139,"gbif",NA,"Haageana"
"247","haageana",-97.090667,17.578083,"gbif",NA,"Oaxacana"
"248","haageana",-97.520889,18.760194,"gbif",NA,"Haageana"
"249","haageana",-97.556778,18.737139,"gbif",NA,"Haageana"
"250","haageana",-97.620306,18.73825,"gbif",NA,"M_conspicua"
"251","haageana",-97.463889,18.603833,"gbif",NA,"M_conspicua"
"252","haageana",-97.471667,18.608333,"gbif",NA,"M_conspicua"
"253","haageana",-97.361028,18.345306,"gbif",NA,"M_meissneri"
"254","haageana",-97.649444,18.321111,"gbif",NA,"M_conspicua"
"255","haageana",-97.590944,18.367639,"gbif",NA,"M_conspicua"
"256","haageana",-97.602583,18.366194,"gbif",NA,"M_conspicua"
"257","haageana",-97.528278,18.201,"gbif",NA,"M_conspicua"
"258","haageana",-97.633778,18.33475,"gbif",NA,"M_conspicua"
"259","haageana",-97.576222,18.347417,"gbif",NA,"M_meissneri"
"260","haageana",-97.456389,18.663333,"gbif",NA,"M_conspicua"
"261","haageana",-97.437222,18.373889,"gbif",NA,"M_meissneri"
"262","haageana",-97.505833,18.195833,"gbif",NA,"M_conspicua"
"263","haageana",-97.470556,18.590278,"gbif",NA,"M_conspicua"
"264","haageana",-97.455476,18.329937,"gbif",NA,"M_meissneri"
"265","haageana",-97.414722,18.216639,"gbif",NA,"M_conspicua"
"266","haageana",-97.499444,18.318917,"gbif",NA,"M_meissneri"
"267","haageana",-97.363611,18.361861,"gbif",NA,"M_meissneri"
"268","haageana",-97.38,18.317972,"gbif",NA,"M_meissneri"
"269","haageana",-97.452111,18.338806,"gbif",NA,"M_meissneri"
"270","haageana",-97.38,18.319389,"gbif",NA,"M_meissneri"
"271","haageana",-97.379722,18.311972,"gbif",NA,"M_meissneri"
"272","haageana",-97.4925,18.255361,"gbif",NA,"M_conspicua"
"273","haageana",-97.512389,18.402611,"gbif",NA,"M_conspicua"
"274","haageana",-97.484806,18.41025,"gbif",NA,"M_conspicua"
"275","haageana",-97.526167,18.404889,"gbif",NA,"M_conspicua"
"276","haageana",-97.555972,18.318083,"gbif",NA,"M_meissneri"
"277","haageana",-97.449167,18.40475,"gbif",NA,"M_conspicua"
"278","haageana",-97.572444,18.39025,"gbif",NA,"M_conspicua"
"279","haageana",-97.474806,18.607111,"gbif",NA,"M_conspicua"
"280","haageana",-97.550083,18.250833,"gbif",NA,"M_meissneri"
"281","haageana",-97.53944,18.48266,"gbif",NA,"M_conspicua"
"282","haageana",-97.796556,17.822167,"gbif",NA,"M_conspicua"
"283","haageana",-97.69344,18.03202,"gbif",NA,"M_conspicua"
"284","haageana",-97.87583,17.94036,"gbif",NA,"M_conspicua"
"285","haageana",-97.93318,18.08663,"gbif",NA,"Sto_domingo"
"286","haageana",-97.446972,18.340583,"gbif",NA,"M_meissneri"
"287","haageana",-97.448333,18.340806,"gbif",NA,"M_meissneri"
"288","haageana",-97.447333,18.340444,"gbif",NA,"M_meissneri"
"289","haageana",-97.420417,18.41925,"gbif",NA,"M_meissneri"
"290","haageana",-97.502222,18.224833,"gbif",NA,"M_conspicua"
"291","haageana",-97.449528,18.342111,"gbif",NA,"M_meissneri"
"292","haageana",-97.446583,18.337278,"gbif",NA,"M_meissneri"
"293","haageana",-97.663889,18.202778,"gbif",NA,"M_conspicua"
"294","haageana",-97.426111,18.320694,"gbif",NA,"M_meissneri"
"295","haageana",-97.435056,18.3235,"gbif",NA,"M_meissneri"
"296","haageana",-97.359722,18.303917,"gbif",NA,"M_meissneri"
"297","haageana",-97.448056,18.319972,"gbif",NA,"M_meissneri"
"298","haageana",-97.440556,18.316778,"gbif",NA,"M_meissneri"
"299","haageana",-97.435556,18.322583,"gbif",NA,"M_meissneri"
"300","haageana",-97.415278,18.228056,"gbif",NA,"M_conspicua"
"301","haageana",-97.415,18.215833,"gbif",NA,"M_conspicua"
"302","haageana",-97.296389,17.936,"gbif",NA,"Oaxacana"
"303","haageana",-97.295528,17.934361,"gbif",NA,"Oaxacana"
"304","haageana",-97.40766,18.70227,"gbif",NA,"Haageana"
"305","haageana",-97.555833,18.235833,"gbif",NA,"M_conspicua"
"306","haageana",-97.510833,18.309444,"gbif",NA,"M_meissneri"
"307","haageana",-97.501389,18.268056,"gbif",NA,"M_meissneri"
"308","haageana",-97.5025,18.268611,"gbif",NA,"M_meissneri"
"309","haageana",-97.576389,18.337222,"gbif",NA,"M_meissneri"
"310","haageana",-97.571111,18.393889,"gbif",NA,"M_conspicua"
"311","haageana",-97.501111,18.287222,"gbif",NA,"M_meissneri"
"312","haageana",-97.5525,18.236667,"gbif",NA,"M_conspicua"
"313","haageana",-97.503056,18.303333,"gbif",NA,"M_meissneri"
"314","haageana",-97.554167,18.1875,"gbif",NA,"M_conspicua"
"315","haageana",-97.4075,18.702222,"gbif",NA,"Haageana"
"316","haageana",-97.443333,18.363889,"gbif",NA,"M_meissneri"
"317","haageana",-97.435278,18.3625,"gbif",NA,"M_meissneri"
"318","haageana",-97.474444,18.350833,"gbif",NA,"M_conspicua"
"319","haageana",-97.474722,18.346694,"gbif",NA,"M_conspicua"
"320","haageana",-97.449167,18.384722,"gbif",NA,"M_conspicua"
"321","haageana",-97.515278,18.361389,"gbif",NA,"M_meissneri"
"322","haageana",-97.515278,18.374722,"gbif",NA,"M_conspicua"
"323","haageana",-97.518333,18.357222,"gbif",NA,"M_meissneri"
"324","haageana",-97.473611,18.352778,"gbif",NA,"M_conspicua"
"325","haageana",-97.514722,18.359167,"gbif",NA,"M_conspicua"
"326","haageana",-97.518889,18.344167,"gbif",NA,"M_meissneri"
"327","haageana",-97.521111,18.349167,"gbif",NA,"M_meissneri"
"328","haageana",-97.515,18.356944,"gbif",NA,"M_meissneri"
"329","haageana",-97.620278,18.740833,"gbif",NA,"M_conspicua"
"330","haageana",-97.5075,18.8,"gbif",NA,"Haageana"
"331","haageana",-97.429167,18.411667,"gbif",NA,"M_conspicua"
"332","haageana",-97.79655,17.82216,"gbif",NA,"M_conspicua"
"333","haageana",-97.362778,19.476111,"gbif",NA,"Haageana"
"334","haageana",-97.55,17.833333,"gbif",NA,"Oaxacana"
"335","haageana",-97.433333,18.733333,"gbif",NA,"Haageana"
"336","haageana",-97.483333,17.65,"gbif",NA,"Oaxacana"
"337","haageana",-97.45,18.7,"gbif",NA,"Haageana"
"338","haageana",-99.1,18.716667,"gbif",NA,"San_angelensis"
"339","haageana",-97.75,17.766667,"gbif",NA,"M_conspicua"
"340","haageana",-97.666667,17.716667,"gbif",NA,"Oaxacana"
"341","haageana",-97.533333,17.7,"gbif",NA,"Oaxacana"
"342","haageana",-97.233333,17.833333,"gbif",NA,"Oaxacana"
"343","haageana",-97.9,17.733333,"gbif",NA,"M_conspicua"
"344","haageana",-97.55,18.25,"gbif",NA,"M_conspicua"
"345","haageana",-97.5,18.333333,"gbif",NA,"M_meissneri"
"346","haageana",-97.416667,18.75,"gbif",NA,"Haageana"
"347","albilanata",-98.5142694444444,17.6068888888889,"herbarios",NA,"Albilanata"
"348","albilanata",-99.24425,18.2576111111111,"herbarios",NA,"Albilanata"
"349","albilanata",-99.5655222222222,17.113275,"herbarios",NA,"Albilanata"
"350","albilanata",-98.4875,17.9658333333333,"herbarios",NA,"Albilanata"
"351","albilanata",-96.6983666666667,16.8958555555556,"herbarios",NA,"Huauclilla"
"352","haageana",-97.2436111111111,18.7258333333333,"herbarios",NA,"Acultingensis"
"353","haageana",-97.7089722222222,17.7400833333333,"herbarios",NA,"M_conspicua"
"354","haageana",-97.9954416666667,18.4875861111111,"herbarios",NA,"M_conspicua"
"355","haageana",-97.54975,17.3341666666667,"herbarios",NA,"Oaxacana"
"356","haageana",-97.4077777777778,19.3866666666667,"herbarios",NA,"Haageana"
"357","haageana",-97.5241666666667,18.3061111111111,"herbarios",NA,"M_meissneri"
"358","haageana",-97.471275,18.3357777777778,"herbarios",NA,"M_meissneri"
"359","haageana",-97.4625,18.6236666666667,"herbarios",NA,"M_conspicua"
"360","haageana",-97.4575,18.3347222222222,"herbarios",NA,"M_meissneri"
"361","haageana",-97.1721388888889,17.57125,"herbarios",NA,"Oaxacana"
