"Especie","Lat","Long","BD","colecta"
"haageana",19.4956388888889,-97.2881666666667,"gbs","CC021"
"haageana",19.4956388888889,-97.2881666666667,"gbs","CC021"
"haageana",19.4956388888889,-97.2881666666667,"gbs","CC021"
"haageana",18.84725,-97.3821944444444,"gbs","CC022"
"haageana",18.84725,-97.3821944444444,"gbs","CC022"
"haageana",18.84725,-97.3821944444444,"gbs","CC022"
"haageana",18.7583888888889,-97.2435,"gbs","CC029"
"haageana",18.7583888888889,-97.2435,"gbs","CC029"
"haageana",18.7583888888889,-97.2435,"gbs","CC029"
"albilanata",17.4820555555556,-97.0452222222222,"gbs","CC036"
"albilanata",17.4820555555556,-97.0452222222222,"gbs","CC036"
"albilanata",17.4820555555556,-97.0452222222222,"gbs","CC036"
"albilanata",17.4676944444444,-97.0601944444445,"gbs","CC037"
"albilanata",17.3440833333333,-96.9384166666667,"gbs","CC040"
"albilanata",17.3440833333333,-96.9384166666667,"gbs","CC040"
"albilanata",17.3440833333333,-96.9384166666667,"gbs","CC040"
"albilanata",16.6702777777778,-96.1010833333333,"gbs","CC043"
"albilanata",16.6702777777778,-96.1010833333333,"gbs","CC043"
"albilanata",16.6702777777778,-96.1010833333333,"gbs","CC043"
"albilanata",16.4033333333333,-95.4535833333333,"gbs","CC044"
"albilanata",16.4033333333333,-95.4535833333333,"gbs","CC044"
"albilanata",16.4033333333333,-95.4535833333333,"gbs","CC044"
"albilanata",17.6515277777778,-97.9785555555556,"gbs","CC046"
"albilanata",17.6515277777778,-97.9785555555556,"gbs","CC046"
"albilanata",17.6515277777778,-97.9785555555556,"gbs","CC046"
"albilanata",18.2557,-99.2570972222222,"gbs","CC047"
"albilanata",19.5797277777778,-103.924363888889,"gbs","M_reppen"
"albilanata",16.5527777777778,-94.9472222222222,"col_cactus",NA
"albilanata",16.2858333333333,-92.1697222222222,"col_cactus",NA
"albilanata",16.0822222222222,-92.0438888888889,"col_cactus",NA
"haageana",18.2855555555556,-97.6391666666667,"col_cactus",NA
"haageana",18.1936111111111,-97.2641666666667,"col_cactus",NA
"haageana",18.3955555555556,-97.4436111111111,"col_cactus",NA
